"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Ano x Principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"Existência de canalização de água";"2022"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Total";"Rede geral de distribuição";"Poço profundo ou artesiano";"Poço raso, freático ou cacimba";"Fonte, nascente ou mina";"Carro-pipa";"Água da chuva armazenada";"Rios, açudes, córregos, lagos e igarapés";"Outra"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"2989";"2823";"61";"5";"92";"1";"1";"4";"2"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Canalizada, mas apenas no terreno";"23";"18";"1";"1";"2";"-";"1";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Sem água canalizada";"3";"-";"-";"-";"-";"-";"-";"2";"1"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Total";"175744";"142364";"19680";"11986";"572";"269";"27";"128";"718"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"170878";"141184";"17933";"10751";"536";"166";"10";"81";"217"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Canalizada, mas apenas no terreno";"3154";"1180";"1017";"698";"34";"48";"4";"18";"155"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Sem água canalizada";"1712";"-";"730";"537";"2";"55";"13";"29";"346"
"MU";"3301108";"Cantagalo (RJ)";"Total";"7289";"5910";"555";"28";"740";"3";"4";"40";"9"
"MU";"3301108";"Cantagalo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"7220";"5874";"546";"28";"728";"-";"1";"37";"6"
"MU";"3301108";"Cantagalo (RJ)";"Canalizada, mas apenas no terreno";"54";"36";"7";"-";"4";"-";"2";"2";"3"
"MU";"3301108";"Cantagalo (RJ)";"Sem água canalizada";"15";"-";"2";"-";"8";"3";"1";"1";"-"
"MU";"3301157";"Cardoso Moreira (RJ)";"Total";"4985";"3607";"811";"296";"237";"19";"-";"5";"10"
"MU";"3301157";"Cardoso Moreira (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"4877";"3533";"798";"290";"230";"13";"-";"5";"8"
"MU";"3301157";"Cardoso Moreira (RJ)";"Canalizada, mas apenas no terreno";"87";"74";"5";"2";"3";"2";"-";"-";"1"
"MU";"3301157";"Cardoso Moreira (RJ)";"Sem água canalizada";"21";"-";"8";"4";"4";"4";"-";"-";"1"
"MU";"3301207";"Carmo (RJ)";"Total";"6683";"6123";"154";"28";"357";"-";"-";"2";"19"
"MU";"3301207";"Carmo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"6655";"6114";"151";"28";"355";"-";"-";"2";"5"
"MU";"3301207";"Carmo (RJ)";"Canalizada, mas apenas no terreno";"23";"9";"-";"-";"1";"-";"-";"-";"13"
"MU";"3301207";"Carmo (RJ)";"Sem água canalizada";"5";"-";"3";"-";"1";"-";"-";"-";"1"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Total";"16907";"14875";"1065";"150";"520";"101";"61";"6";"129"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"15515";"13872";"832";"145";"513";"40";"23";"6";"84"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Canalizada, mas apenas no terreno";"1270";"1003";"159";"3";"6";"36";"32";"-";"31"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Sem água canalizada";"122";"-";"74";"2";"1";"25";"6";"-";"14"
"MU";"3301405";"Conceição de Macabu (RJ)";"Total";"7901";"3530";"3165";"833";"350";"8";"1";"4";"10"
"MU";"3301405";"Conceição de Macabu (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"7602";"3500";"2941";"805";"337";"8";"1";"3";"7"
"MU";"3301405";"Conceição de Macabu (RJ)";"Canalizada, mas apenas no terreno";"98";"30";"52";"15";"1";"-";"-";"-";"-"
"MU";"3301405";"Conceição de Macabu (RJ)";"Sem água canalizada";"201";"-";"172";"13";"12";"-";"-";"1";"3"
"MU";"3301504";"Cordeiro (RJ)";"Total";"7959";"7538";"107";"10";"290";"1";"2";"1";"10"
"MU";"3301504";"Cordeiro (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"7933";"7531";"96";"10";"286";"-";"-";"1";"9"
"MU";"3301504";"Cordeiro (RJ)";"Canalizada, mas apenas no terreno";"12";"7";"2";"-";"3";"-";"-";"-";"-"
"MU";"3301504";"Cordeiro (RJ)";"Sem água canalizada";"14";"-";"9";"-";"1";"1";"2";"-";"1"
"MU";"3301603";"Duas Barras (RJ)";"Total";"4151";"2920";"299";"20";"897";"8";"-";"5";"2"
"MU";"3301603";"Duas Barras (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"4119";"2915";"295";"19";"877";"7";"-";"5";"1"
"MU";"3301603";"Duas Barras (RJ)";"Canalizada, mas apenas no terreno";"25";"5";"3";"-";"16";"-";"-";"-";"1"
"MU";"3301603";"Duas Barras (RJ)";"Sem água canalizada";"7";"-";"1";"1";"4";"1";"-";"-";"-"
"MU";"3301702";"Duque de Caxias (RJ)";"Total";"298064";"176732";"106585";"6756";"1369";"2730";"280";"110";"3502"
"MU";"3301702";"Duque de Caxias (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"272579";"167754";"93390";"5871";"1179";"1838";"101";"75";"2371"
