"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Ano x Principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"Existência de canalização de água";"2022"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Total";"Rede geral de distribuição";"Poço profundo ou artesiano";"Poço raso, freático ou cacimba";"Fonte, nascente ou mina";"Carro-pipa";"Água da chuva armazenada";"Rios, açudes, córregos, lagos e igarapés";"Outra"
"MU";"3300225";"Areal (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"98,74734";"71,07067";"7,68140";"5,38880";"14,06287";"0,16545";"0,02364";"0,30726";"0,04727"
"MU";"3300225";"Areal (RJ)";"Canalizada, mas apenas no terreno";"0,61451";"0,09454";"0,28362";"0,02364";"0,14181";"-";"-";"0,04727";"0,02364"
"MU";"3300225";"Areal (RJ)";"Sem água canalizada";"0,63815";"-";"0,04727";"-";"0,18908";"-";"-";"0,40180";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Total";"100,00000";"94,41019";"2,28552";"0,18097";"0,08043";"2,32574";"0,06032";"0,02011";"0,63673"
"MU";"3300233";"Armação dos Búzios (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"96,94370";"92,52011";"1,97721";"0,16756";"0,07373";"1,56836";"0,06032";"0,02011";"0,55630"
"MU";"3300233";"Armação dos Búzios (RJ)";"Canalizada, mas apenas no terreno";"2,41287";"1,89008";"0,21448";"0,01340";"0,00670";"0,27480";"-";"-";"0,01340"
"MU";"3300233";"Armação dos Búzios (RJ)";"Sem água canalizada";"0,64343";"-";"0,09383";"-";"-";"0,48257";"-";"-";"0,06702"
"MU";"3300258";"Arraial do Cabo (RJ)";"Total";"100,00000";"78,59990";"18,93086";"0,29458";"0,27725";"1,50754";"0,08664";"0,00866";"0,29458"
"MU";"3300258";"Arraial do Cabo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"96,53440";"77,74216";"17,27604";"0,25992";"0,27725";"0,82308";"0,01733";"0,00866";"0,12996"
"MU";"3300258";"Arraial do Cabo (RJ)";"Canalizada, mas apenas no terreno";"2,39127";"0,85774";"1,07434";"0,01733";"-";"0,41587";"0,02599";"-";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Sem água canalizada";"1,07434";"-";"0,58049";"0,01733";"-";"0,26858";"0,04332";"-";"0,16462"
"MU";"3300308";"Barra do Piraí (RJ)";"Total";"100,00000";"80,63843";"6,37289";"8,02183";"3,05784";"1,68610";"0,01715";"0,07716";"0,12860"
"MU";"3300308";"Barra do Piraí (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"97,95953";"80,19262";"6,00995";"7,50171";"2,72920";"1,40318";"0,01715";"0,03715";"0,06859"
"MU";"3300308";"Barra do Piraí (RJ)";"Canalizada, mas apenas no terreno";"1,46033";"0,44582";"0,17718";"0,41438";"0,24005";"0,15718";"-";"0,02286";"0,00286"
"MU";"3300308";"Barra do Piraí (RJ)";"Sem água canalizada";"0,58013";"-";"0,18576";"0,10574";"0,08859";"0,12574";"-";"0,01715";"0,05716"
"MU";"3300407";"Barra Mansa (RJ)";"Total";"100,00000";"93,49658";"3,42980";"1,41040";"1,36111";"0,10176";"0,05883";"0,07791";"0,06360"
"MU";"3300407";"Barra Mansa (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,39259";"93,36938";"3,27556";"1,24980";"1,30704";"0,08904";"0,00636";"0,07473";"0,02067"
"MU";"3300407";"Barra Mansa (RJ)";"Canalizada, mas apenas no terreno";"0,26554";"0,12721";"0,06201";"0,04293";"0,01590";"0,00477";"0,00795";"-";"0,00477"
"MU";"3300407";"Barra Mansa (RJ)";"Sem água canalizada";"0,34187";"-";"0,09222";"0,11767";"0,03816";"0,00795";"0,04452";"0,00318";"0,03816"
"MU";"3300456";"Belford Roxo (RJ)";"Total";"100,00000";"74,24113";"23,05230";"0,70981";"0,11664";"0,14594";"0,04975";"0,02875";"1,65567"
"MU";"3300456";"Belford Roxo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"93,36901";"72,77120";"19,12401";"0,47542";"0,08900";"0,07408";"0,02156";"0,02377";"0,78997"
"MU";"3300456";"Belford Roxo (RJ)";"Canalizada, mas apenas no terreno";"2,83869";"1,46993";"1,12221";"0,09398";"0,01327";"0,00829";"0,00442";"0,00276";"0,12383"
"MU";"3300456";"Belford Roxo (RJ)";"Sem água canalizada";"3,79230";"-";"2,80608";"0,14041";"0,01437";"0,06357";"0,02377";"0,00221";"0,74188"
"MU";"3300506";"Bom Jardim (RJ)";"Total";"100,00000";"57,80474";"13,32966";"2,01324";"26,52142";"0,22982";"-";"0,09193";"0,00919"
"MU";"3300506";"Bom Jardim (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,91726";"57,78636";"13,31127";"1,99485";"26,50303";"0,22063";"-";"0,09193";"0,00919"
"MU";"3300506";"Bom Jardim (RJ)";"Canalizada, mas apenas no terreno";"0,05516";"0,01839";"0,00919";"0,00919";"0,01839";"-";"-";"-";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Sem água canalizada";"0,02758";"-";"0,00919";"0,00919";"-";"0,00919";"-";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Total";"100,00000";"86,87238";"6,27615";"1,05350";"5,34967";"0,21668";"0,00747";"0,07472";"0,14943"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,68619";"86,70801";"6,22385";"1,03855";"5,31978";"0,21668";"-";"0,07472";"0,10460"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Canalizada, mas apenas no terreno";"0,25403";"0,16438";"0,05230";"0,00747";"0,02241";"-";"-";"-";"0,00747"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Sem água canalizada";"0,05977";"-";"-";"0,00747";"0,00747";"-";"0,00747";"-";"0,03736"
"MU";"3300704";"Cabo Frio (RJ)";"Total";"100,00000";"87,16089";"9,32025";"0,83887";"0,06218";"1,86551";"0,08657";"0,00854";"0,65720"
"MU";"3300704";"Cabo Frio (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"96,23484";"85,30878";"8,38261";"0,70109";"0,05487";"1,36926";"0,05853";"0,00854";"0,35116"
"MU";"3300704";"Cabo Frio (RJ)";"Canalizada, mas apenas no terreno";"2,51661";"1,85210";"0,34140";"0,07438";"0,00488";"0,15973";"0,00854";"-";"0,07560"
"MU";"3300704";"Cabo Frio (RJ)";"Sem água canalizada";"1,24855";"-";"0,59623";"0,06340";"0,00244";"0,33652";"0,01951";"-";"0,23045"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Total";"100,00000";"75,46822";"9,76870";"1,89086";"12,63867";"0,01797";"0,01797";"0,05390";"0,14372"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"98,63014";"74,61936";"9,57557";"1,79205";"12,49046";"0,01347";"0,01797";"0,04940";"0,07186"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Canalizada, mas apenas no terreno";"1,16326";"0,84887";"0,13923";"0,05839";"0,10330";"0,00449";"-";"-";"0,00898"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Sem água canalizada";"0,20660";"-";"0,05390";"0,04042";"0,04491";"-";"-";"0,00449";"0,06288"
"MU";"3300902";"Cambuci (RJ)";"Total";"100,00000";"73,56441";"11,48474";"3,81100";"10,20866";"0,01724";"-";"0,18969";"0,72426"
"MU";"3300902";"Cambuci (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,46543";"73,44370";"11,39852";"3,75927";"10,05346";"0,01724";"-";"0,15520";"0,63804"
"MU";"3300902";"Cambuci (RJ)";"Canalizada, mas apenas no terreno";"0,25867";"0,12071";"0,03449";"-";"0,10347";"-";"-";"-";"-"
"MU";"3300902";"Cambuci (RJ)";"Sem água canalizada";"0,27591";"-";"0,05173";"0,05173";"0,05173";"-";"-";"0,03449";"0,08622"
"MU";"3300936";"Carapebus (RJ)";"Total";"100,00000";"23,36114";"26,10250";"45,39134";"0,31784";"4,41001";"0,01986";"0,03973";"0,35757"
"MU";"3300936";"Carapebus (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"89,09416";"22,84466";"22,92412";"40,24632";"0,29797";"2,56257";"-";"0,01986";"0,19865"
"MU";"3300936";"Carapebus (RJ)";"Canalizada, mas apenas no terreno";"10,03178";"0,51649";"2,80095";"5,00596";"0,01986";"1,62892";"0,01986";"-";"0,03973"
"MU";"3300936";"Carapebus (RJ)";"Sem água canalizada";"0,87406";"-";"0,37743";"0,13905";"-";"0,21851";"-";"0,01986";"0,11919"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Total";"100,00000";"94,22886";"2,05638";"0,19900";"3,11774";"0,03317";"0,06633";"0,19900";"0,09950"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,13765";"93,63184";"2,02322";"0,16584";"3,05141";"0,03317";"0,03317";"0,13267";"0,06633"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Canalizada, mas apenas no terreno";"0,76285";"0,59701";"0,03317";"0,03317";"0,06633";"-";"0,03317";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Sem água canalizada";"0,09950";"-";"-";"-";"-";"-";"-";"0,06633";"0,03317"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Total";"100,00000";"81,00646";"11,19811";"6,82015";"0,32547";"0,15306";"0,01536";"0,07283";"0,40855"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"97,23120";"80,33503";"10,20405";"6,11742";"0,30499";"0,09446";"0,00569";"0,04609";"0,12348"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Canalizada, mas apenas no terreno";"1,79466";"0,67143";"0,57868";"0,39717";"0,01935";"0,02731";"0,00228";"0,01024";"0,08820"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Sem água canalizada";"0,97414";"-";"0,41538";"0,30556";"0,00114";"0,03130";"0,00740";"0,01650";"0,19688"
"MU";"3301108";"Cantagalo (RJ)";"Total";"100,00000";"81,08108";"7,61421";"0,38414";"10,15228";"0,04116";"0,05488";"0,54877";"0,12347"
"MU";"3301108";"Cantagalo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,05337";"80,58719";"7,49074";"0,38414";"9,98765";"-";"0,01372";"0,50761";"0,08232"
"MU";"3301108";"Cantagalo (RJ)";"Canalizada, mas apenas no terreno";"0,74084";"0,49389";"0,09604";"-";"0,05488";"-";"0,02744";"0,02744";"0,04116"
"MU";"3301108";"Cantagalo (RJ)";"Sem água canalizada";"0,20579";"-";"0,02744";"-";"0,10975";"0,04116";"0,01372";"0,01372";"-"
"MU";"3301157";"Cardoso Moreira (RJ)";"Total";"100,00000";"72,35707";"16,26881";"5,93781";"4,75426";"0,38114";"-";"0,10030";"0,20060"
"MU";"3301157";"Cardoso Moreira (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"97,83350";"70,87262";"16,00802";"5,81745";"4,61384";"0,26078";"-";"0,10030";"0,16048"
"MU";"3301157";"Cardoso Moreira (RJ)";"Canalizada, mas apenas no terreno";"1,74524";"1,48445";"0,10030";"0,04012";"0,06018";"0,04012";"-";"-";"0,02006"
"MU";"3301157";"Cardoso Moreira (RJ)";"Sem água canalizada";"0,42126";"-";"0,16048";"0,08024";"0,08024";"0,08024";"-";"-";"0,02006"
"MU";"3301207";"Carmo (RJ)";"Total";"100,00000";"91,62053";"2,30435";"0,41897";"5,34191";"-";"-";"0,02993";"0,28430"
"MU";"3301207";"Carmo (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,58103";"91,48586";"2,25946";"0,41897";"5,31199";"-";"-";"0,02993";"0,07482"
"MU";"3301207";"Carmo (RJ)";"Canalizada, mas apenas no terreno";"0,34416";"0,13467";"-";"-";"0,01496";"-";"-";"-";"0,19452"
"MU";"3301207";"Carmo (RJ)";"Sem água canalizada";"0,07482";"-";"0,04489";"-";"0,01496";"-";"-";"-";"0,01496"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Total";"100,00000";"87,98131";"6,29917";"0,88721";"3,07565";"0,59739";"0,36080";"0,03549";"0,76300"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"91,76672";"82,04886";"4,92104";"0,85763";"3,03425";"0,23659";"0,13604";"0,03549";"0,49684"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Canalizada, mas apenas no terreno";"7,51168";"5,93245";"0,94044";"0,01774";"0,03549";"0,21293";"0,18927";"-";"0,18336"
"MU";"3301306";"Casimiro de Abreu (RJ)";"Sem água canalizada";"0,72159";"-";"0,43769";"0,01183";"0,00591";"0,14787";"0,03549";"-";"0,08281"
"MU";"3301405";"Conceição de Macabu (RJ)";"Total";"100,00000";"44,67789";"40,05822";"10,54297";"4,42982";"0,10125";"0,01266";"0,05063";"0,12657"
"MU";"3301405";"Conceição de Macabu (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"96,21567";"44,29819";"37,22314";"10,18858";"4,26528";"0,10125";"0,01266";"0,03797";"0,08860"
"MU";"3301405";"Conceição de Macabu (RJ)";"Canalizada, mas apenas no terreno";"1,24035";"0,37970";"0,65814";"0,18985";"0,01266";"-";"-";"-";"-"
"MU";"3301405";"Conceição de Macabu (RJ)";"Sem água canalizada";"2,54398";"-";"2,17694";"0,16454";"0,15188";"-";"-";"0,01266";"0,03797"
"MU";"3301504";"Cordeiro (RJ)";"Total";"100,00000";"94,71039";"1,34439";"0,12564";"3,64367";"0,01256";"0,02513";"0,01256";"0,12564"
"MU";"3301504";"Cordeiro (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,67333";"94,62244";"1,20618";"0,12564";"3,59342";"-";"-";"0,01256";"0,11308"
"MU";"3301504";"Cordeiro (RJ)";"Canalizada, mas apenas no terreno";"0,15077";"0,08795";"0,02513";"-";"0,03769";"-";"-";"-";"-"
"MU";"3301504";"Cordeiro (RJ)";"Sem água canalizada";"0,17590";"-";"0,11308";"-";"0,01256";"0,01256";"0,02513";"-";"0,01256"
"MU";"3301603";"Duas Barras (RJ)";"Total";"100,00000";"70,34450";"7,20308";"0,48181";"21,60925";"0,19272";"-";"0,12045";"0,04818"
"MU";"3301603";"Duas Barras (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,22910";"70,22404";"7,10672";"0,45772";"21,12744";"0,16863";"-";"0,12045";"0,02409"
"MU";"3301603";"Duas Barras (RJ)";"Canalizada, mas apenas no terreno";"0,60226";"0,12045";"0,07227";"-";"0,38545";"-";"-";"-";"0,02409"
"MU";"3301603";"Duas Barras (RJ)";"Sem água canalizada";"0,16863";"-";"0,02409";"0,02409";"0,09636";"0,02409";"-";"-";"-"
"MU";"3301702";"Duque de Caxias (RJ)";"Total";"100,00000";"59,29331";"35,75910";"2,26663";"0,45930";"0,91591";"0,09394";"0,03690";"1,17492"
"MU";"3301702";"Duque de Caxias (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"91,44982";"56,28120";"31,33220";"1,96971";"0,39555";"0,61665";"0,03389";"0,02516";"0,79547"
"MU";"3301702";"Duque de Caxias (RJ)";"Canalizada, mas apenas no terreno";"5,62899";"3,01210";"2,28441";"0,12648";"0,01443";"0,07213";"0,01510";"0,00470";"0,09964"
"MU";"3301702";"Duque de Caxias (RJ)";"Sem água canalizada";"2,92118";"-";"2,14249";"0,17043";"0,04932";"0,22713";"0,04496";"0,00705";"0,27981"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Total";"100,00000";"49,61386";"20,87247";"16,48925";"12,43999";"0,02087";"0,06262";"0,39658";"0,10436"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,03987";"49,38426";"20,49676";"16,34314";"12,25214";"0,02087";"0,06262";"0,39658";"0,08349"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Canalizada, mas apenas no terreno";"0,66792";"0,22960";"0,22960";"0,10436";"0,10436";"-";"-";"-";"-"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"Sem água canalizada";"0,29221";"-";"0,14611";"0,04174";"0,08349";"-";"-";"-";"0,02087"
"MU";"3301850";"Guapimirim (RJ)";"Total";"100,00000";"63,53660";"24,24046";"3,31387";"6,96832";"0,17299";"0,06487";"0,35139";"1,35150"
"MU";"3301850";"Guapimirim (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"94,97243";"62,36350";"21,12120";"3,11926";"6,89264";"0,13515";"0,03784";"0,34598";"0,95686"
"MU";"3301850";"Guapimirim (RJ)";"Canalizada, mas apenas no terreno";"2,17861";"1,17310";"0,82171";"0,07568";"0,02703";"0,01081";"0,01081";"0,00541";"0,05406"
"MU";"3301850";"Guapimirim (RJ)";"Sem água canalizada";"2,84896";"-";"2,29755";"0,11893";"0,04865";"0,02703";"0,01622";"-";"0,34058"
"MU";"3301876";"Iguaba Grande (RJ)";"Total";"100,00000";"96,60590";"0,75640";"0,13576";"0,33941";"1,71645";"0,10667";"0,08728";"0,25213"
"MU";"3301876";"Iguaba Grande (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"98,28355";"95,62645";"0,53336";"0,08728";"0,33941";"1,46431";"0,05818";"0,08728";"0,08728"
"MU";"3301876";"Iguaba Grande (RJ)";"Canalizada, mas apenas no terreno";"1,17339";"0,97944";"0,06788";"0,00970";"-";"0,07758";"0,00970";"-";"0,02909"
"MU";"3301876";"Iguaba Grande (RJ)";"Sem água canalizada";"0,54306";"-";"0,15516";"0,03879";"-";"0,17455";"0,03879";"-";"0,13576"
"MU";"3301900";"Itaboraí (RJ)";"Total";"100,00000";"25,24023";"53,58727";"15,79160";"0,15130";"2,61827";"0,18710";"0,21367";"2,21057"
"MU";"3301900";"Itaboraí (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"93,78176";"24,57151";"50,47699";"14,25899";"0,13975";"2,24522";"0,13166";"0,19865";"1,75899"
"MU";"3301900";"Itaboraí (RJ)";"Canalizada, mas apenas no terreno";"2,85850";"0,66871";"1,24619";"0,71260";"0,00462";"0,10164";"0,00577";"0,00346";"0,11549"
"MU";"3301900";"Itaboraí (RJ)";"Sem água canalizada";"3,35974";"-";"1,86409";"0,82001";"0,00693";"0,27141";"0,04966";"0,01155";"0,33609"
"MU";"3302007";"Itaguaí (RJ)";"Total";"100,00000";"80,80371";"14,78985";"0,46359";"1,61073";"0,01656";"0,02365";"0,74978";"1,54214"
"MU";"3302007";"Itaguaí (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"98,22607";"80,34249";"13,76806";"0,41865";"1,52795";"0,01183";"0,02129";"0,74742";"1,38840"
"MU";"3302007";"Itaguaí (RJ)";"Canalizada, mas apenas no terreno";"0,86331";"0,46122";"0,36188";"0,01419";"0,01183";"-";"-";"0,00237";"0,01183"
"MU";"3302007";"Itaguaí (RJ)";"Sem água canalizada";"0,91062";"-";"0,65990";"0,03075";"0,07096";"0,00473";"0,00237";"-";"0,14191"
"MU";"3302056";"Italva (RJ)";"Total";"100,00000";"86,37013";"6,71668";"2,10790";"1,96499";"2,19721";"-";"0,08932";"0,55377"
"MU";"3302056";"Italva (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"98,30297";"85,76277";"6,25223";"2,05431";"1,91140";"1,94712";"-";"0,05359";"0,32154"
"MU";"3302056";"Italva (RJ)";"Canalizada, mas apenas no terreno";"1,01822";"0,60736";"0,23223";"-";"0,03573";"0,07145";"-";"0,01786";"0,05359"
"MU";"3302056";"Italva (RJ)";"Sem água canalizada";"0,67881";"-";"0,23223";"0,05359";"0,01786";"0,17864";"-";"0,01786";"0,17864"
"MU";"3302106";"Itaocara (RJ)";"Total";"100,00000";"81,40615";"14,26045";"2,48729";"1,30444";"0,07738";"-";"0,33164";"0,13266"
"MU";"3302106";"Itaocara (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,51360";"81,29560";"14,11674";"2,40990";"1,24917";"0,07738";"-";"0,30953";"0,05527"
"MU";"3302106";"Itaocara (RJ)";"Canalizada, mas apenas no terreno";"0,30953";"0,11055";"0,11055";"0,03316";"0,04422";"-";"-";"0,01105";"-"
"MU";"3302106";"Itaocara (RJ)";"Sem água canalizada";"0,17687";"-";"0,03316";"0,04422";"0,01105";"-";"-";"0,01105";"0,07738"
"MU";"3302205";"Itaperuna (RJ)";"Total";"100,00000";"91,95665";"3,70852";"1,26822";"2,48967";"0,02079";"0,00780";"0,15593";"0,39242"
"MU";"3302205";"Itaperuna (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,30352";"91,67078";"3,54479";"1,21365";"2,42730";"0,01299";"0,00780";"0,14294";"0,28327"
"MU";"3302205";"Itaperuna (RJ)";"Canalizada, mas apenas no terreno";"0,47558";"0,28587";"0,09876";"0,02859";"0,03898";"0,00520";"-";"0,00260";"0,01559"
"MU";"3302205";"Itaperuna (RJ)";"Sem água canalizada";"0,22090";"-";"0,06497";"0,02599";"0,02339";"0,00260";"-";"0,01040";"0,09356"
"MU";"3302254";"Itatiaia (RJ)";"Total";"100,00000";"88,85177";"0,33410";"0,24618";"9,46896";"0,62423";"-";"0,39564";"0,07913"
"MU";"3302254";"Itatiaia (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,15597";"88,40338";"0,32530";"0,22859";"9,25796";"0,53631";"-";"0,36047";"0,04396"
"MU";"3302254";"Itatiaia (RJ)";"Canalizada, mas apenas no terreno";"0,59785";"0,44839";"0,00879";"0,01758";"0,07913";"0,00879";"-";"0,03517";"-"
"MU";"3302254";"Itatiaia (RJ)";"Sem água canalizada";"0,24618";"-";"-";"-";"0,13188";"0,07913";"-";"-";"0,03517"
"MU";"3302270";"Japeri (RJ)";"Total";"100,00000";"61,90283";"31,25506";"2,94612";"0,85643";"0,23980";"0,06540";"0,34880";"2,38555"
"MU";"3302270";"Japeri (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"92,81532";"59,47680";"27,96325";"2,36375";"0,80349";"0,19620";"0,04360";"0,28340";"1,68483"
"MU";"3302270";"Japeri (RJ)";"Canalizada, mas apenas no terreno";"4,66210";"2,42604";"1,58518";"0,37683";"0,01869";"0,01869";"0,00311";"0,05294";"0,18063"
"MU";"3302270";"Japeri (RJ)";"Sem água canalizada";"2,52258";"-";"1,70663";"0,20554";"0,03426";"0,02491";"0,01869";"0,01246";"0,52009"
"MU";"3302304";"Laje do Muriaé (RJ)";"Total";"100,00000";"76,39296";"15,94575";"1,42962";"5,93842";"-";"0,07331";"0,07331";"0,14663"
"MU";"3302304";"Laje do Muriaé (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,48680";"76,20968";"15,83578";"1,39296";"5,93842";"-";"-";"0,07331";"0,03666"
"MU";"3302304";"Laje do Muriaé (RJ)";"Canalizada, mas apenas no terreno";"0,25660";"0,18328";"0,03666";"0,03666";"-";"-";"-";"-";"-"
"MU";"3302304";"Laje do Muriaé (RJ)";"Sem água canalizada";"0,25660";"-";"0,07331";"-";"-";"-";"0,07331";"-";"0,10997"
"MU";"3302403";"Macaé (RJ)";"Total";"100,00000";"81,22223";"12,50593";"0,53497";"2,38578";"1,89827";"0,03775";"0,22866";"1,18642"
"MU";"3302403";"Macaé (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"89,43009";"75,56085";"9,09875";"0,46702";"2,33832";"1,40429";"0,02696";"0,20708";"0,32680"
"MU";"3302403";"Macaé (RJ)";"Canalizada, mas apenas no terreno";"7,11959";"5,66137";"1,05591";"0,03451";"0,03667";"0,11001";"0,00216";"0,01726";"0,20169"
"MU";"3302403";"Macaé (RJ)";"Sem água canalizada";"3,45032";"-";"2,35127";"0,03344";"0,01079";"0,38397";"0,00863";"0,00431";"0,65792"
"MU";"3302452";"Macuco (RJ)";"Total";"100,00000";"90,56701";"3,45361";"0,20619";"5,61856";"-";"-";"-";"0,15464"
"MU";"3302452";"Macuco (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,89691";"90,56701";"3,45361";"0,20619";"5,56701";"-";"-";"-";"0,10309"
"MU";"3302452";"Macuco (RJ)";"Canalizada, mas apenas no terreno";"0,05155";"-";"-";"-";"0,05155";"-";"-";"-";"-"
"MU";"3302452";"Macuco (RJ)";"Sem água canalizada";"0,05155";"-";"-";"-";"-";"-";"-";"-";"0,05155"
"MU";"3302502";"Magé (RJ)";"Total";"100,00000";"30,70345";"56,21185";"3,64750";"6,30473";"0,33653";"0,17972";"1,26891";"1,34731"
"MU";"3302502";"Magé (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"91,62666";"27,94490";"51,64282";"3,27721";"6,16723";"0,22314";"0,09770";"1,19412";"1,07954"
"MU";"3302502";"Magé (RJ)";"Canalizada, mas apenas no terreno";"4,88023";"2,75855";"1,68263";"0,19540";"0,06272";"0,04584";"0,03619";"0,03377";"0,06513"
"MU";"3302502";"Magé (RJ)";"Sem água canalizada";"3,49311";"-";"2,88640";"0,17490";"0,07478";"0,06755";"0,04584";"0,04101";"0,20264"
"MU";"3302601";"Mangaratiba (RJ)";"Total";"100,00000";"51,07517";"4,64320";"0,27276";"35,97843";"0,02537";"0,03806";"7,40247";"0,56454"
"MU";"3302601";"Mangaratiba (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"99,03584";"50,77704";"4,50999";"0,26641";"35,66762";"0,02537";"0,03172";"7,38344";"0,37425"
"MU";"3302601";"Mangaratiba (RJ)";"Canalizada, mas apenas no terreno";"0,62163";"0,29813";"0,05075";"0,00634";"0,22835";"-";"0,00634";"0,01269";"0,01903"
"MU";"3302601";"Mangaratiba (RJ)";"Sem água canalizada";"0,34253";"-";"0,08246";"-";"0,08246";"-";"-";"0,00634";"0,17127"
"MU";"3302700";"Maricá (RJ)";"Total";"100,00000";"35,21932";"55,35573";"4,06649";"0,49555";"3,72478";"0,52414";"0,08168";"0,53231"
"MU";"3302700";"Maricá (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"93,08411";"34,57674";"50,73924";"3,41302";"0,45607";"3,08084";"0,37438";"0,07215";"0,37166"
"MU";"3302700";"Maricá (RJ)";"Canalizada, mas apenas no terreno";"2,95015";"0,64258";"2,02984";"0,09666";"0,00408";"0,12661";"0,02451";"0,00681";"0,01906"
"MU";"3302700";"Maricá (RJ)";"Sem água canalizada";"3,96575";"-";"2,58665";"0,55681";"0,03540";"0,51733";"0,12525";"0,00272";"0,14159"
"MU";"3302809";"Mendes (RJ)";"Total";"100,00000";"71,37487";"8,70320";"12,10062";"5,82623";"1,82160";"0,02891";"0,04337";"0,10120"
"MU";"3302809";"Mendes (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"98,19286";"71,08573";"8,15382";"11,33439";"5,66720";"1,77823";"0,02891";"0,04337";"0,10120"
"MU";"3302809";"Mendes (RJ)";"Canalizada, mas apenas no terreno";"0,50600";"0,28914";"0,07229";"0,13011";"0,01446";"-";"-";"-";"-"
"MU";"3302809";"Mendes (RJ)";"Sem água canalizada";"1,30114";"-";"0,47709";"0,63611";"0,14457";"0,04337";"-";"-";"-"
"MU";"3302858";"Mesquita (RJ)";"Total";"100,00000";"91,04790";"5,29300";"0,27311";"1,55085";"0,22360";"0,06708";"0,08625";"1,45821"
