"Tabela 6805 - Domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"MU";"3300407";"Barra Mansa (RJ)";"100,00000";"82,05915";"80,36572";"1,69343";"1,57100";"0,60582";"4,74161";"10,68691";"0,33233";"0,00318"
"MU";"3300456";"Belford Roxo (RJ)";"100,00000";"88,11176";"79,03180";"9,07995";"1,56114";"2,42243";"4,78404";"2,23115";"0,87676";"0,01271"
"MU";"3300506";"Bom Jardim (RJ)";"100,00000";"44,39235";"37,73672";"6,65564";"17,39290";"7,04174";"0,56996";"30,36404";"0,22982";"0,00919"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"100,00000";"81,27615";"79,60251";"1,67364";"2,77197";"3,23521";"4,24387";"8,01704";"0,43335";"0,02241"
"MU";"3300704";"Cabo Frio (RJ)";"100,00000";"61,53752";"39,75127";"21,78626";"33,50972";"4,24556";"0,24508";"0,06828";"0,37310";"0,02073"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"100,00000";"66,39569";"50,16393";"16,23175";"14,57444";"11,16102";"3,13497";"4,43297";"0,29194";"0,00898"
"MU";"3300902";"Cambuci (RJ)";"100,00000";"55,19917";"51,78479";"3,41438";"5,67339";"4,74220";"5,93206";"24,93533";"3,44887";"0,06898"
"MU";"3300936";"Carapebus (RJ)";"100,00000";"59,35638";"51,88717";"7,46921";"17,04410";"17,08383";"4,50934";"1,54946";"0,43703";"0,01986"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"100,00000";"74,99171";"67,52902";"7,46269";"2,58706";"0,33167";"1,72471";"20,33167";"0,03317";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"100,00000";"64,81189";"62,39246";"2,41943";"13,04853";"19,35827";"1,52665";"0,91269";"0,30613";"0,03585"
"MU";"3301108";"Cantagalo (RJ)";"100,00000";"76,05982";"71,21690";"4,84291";"9,53492";"4,14323";"3,55330";"6,58527";"0,12347";"-"
"MU";"3301157";"Cardoso Moreira (RJ)";"100,00000";"50,15045";"45,91775";"4,23270";"11,63490";"14,60381";"14,30291";"8,38516";"0,92277";"-"
"MU";"3301207";"Carmo (RJ)";"100,00000";"85,81475";"74,89152";"10,92324";"2,90289";"2,97770";"1,73575";"6,38935";"0,16460";"0,01496"
"MU";"3301306";"Casimiro de Abreu (RJ)";"100,00000";"66,78299";"40,34424";"26,43875";"27,81097";"3,04608";"0,95227";"1,21843";"0,17744";"0,01183"
"MU";"3301405";"Conceição de Macabu (RJ)";"100,00000";"61,81496";"59,87850";"1,93646";"4,75889";"4,03746";"27,13581";"2,03772";"0,20251";"0,01266"
"MU";"3301504";"Cordeiro (RJ)";"100,00000";"86,07865";"80,56288";"5,51577";"4,77447";"1,03028";"2,76417";"5,23935";"0,10052";"0,01256"
"MU";"3301603";"Duas Barras (RJ)";"100,00000";"34,44953";"25,41556";"9,03397";"7,54035";"10,55167";"1,37316";"45,94074";"0,14454";"-"
"MU";"3301702";"Duque de Caxias (RJ)";"100,00000";"89,26204";"74,26090";"15,00114";"2,42934";"2,13209";"3,21810";"2,65916";"0,25531";"0,04395"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"100,00000";"45,25151";"30,89125";"14,36026";"7,20100";"7,32624";"19,22354";"20,51764";"0,43832";"0,04174"
"MU";"3301850";"Guapimirim (RJ)";"100,00000";"56,64937";"37,84733";"18,80203";"26,94345";"6,44394";"6,94670";"2,35701";"0,64872";"0,01081"
"MU";"3301876";"Iguaba Grande (RJ)";"100,00000";"52,44375";"18,15361";"34,29015";"40,80683";"1,13460";"0,77580";"3,25834";"1,57099";"0,00970"
"MU";"3301900";"Itaboraí (RJ)";"100,00000";"65,99141";"38,63531";"27,35609";"13,88132";"6,96318";"9,48328";"2,70604";"0,93089";"0,04389"
"MU";"3302007";"Itaguaí (RJ)";"100,00000";"82,95844";"71,14407";"11,81438";"3,96414";"2,95182";"5,29814";"2,79571";"2,02228";"0,00946"
"MU";"3302056";"Italva (RJ)";"100,00000";"82,02930";"80,74312";"1,28617";"4,62665";"5,53769";"3,59057";"3,55484";"0,64309";"0,01786"
"MU";"3302106";"Itaocara (RJ)";"100,00000";"73,66792";"70,80478";"2,86314";"5,94738";"5,91422";"7,22971";"6,74331";"0,45324";"0,04422"
"MU";"3302205";"Itaperuna (RJ)";"100,00000";"90,82097";"89,70607";"1,11489";"2,03228";"1,67624";"2,32335";"2,34933";"0,77185";"0,02599"
"MU";"3302254";"Itatiaia (RJ)";"100,00000";"69,64129";"61,57904";"8,06225";"18,92034";"7,57869";"1,24846";"2,28592";"0,31651";"0,00879"
"MU";"3302270";"Japeri (RJ)";"100,00000";"71,67549";"63,39147";"8,28402";"3,58767";"6,98225";"12,47275";"3,08938";"2,15821";"0,03426"
"MU";"3302304";"Laje do Muriaé (RJ)";"100,00000";"65,17595";"61,73021";"3,44575";"8,61437";"1,68622";"4,21554";"20,12463";"0,18328";"-"
"MU";"3302403";"Macaé (RJ)";"100,00000";"84,20877";"77,45589";"6,75288";"7,27598";"4,08991";"1,29643";"2,86143";"0,25023";"0,01726"
"MU";"3302452";"Macuco (RJ)";"100,00000";"86,18557";"83,91753";"2,26804";"6,08247";"0,97938";"2,42268";"4,27835";"0,05155";"-"
"MU";"3302502";"Magé (RJ)";"100,00000";"68,56802";"45,26813";"23,29988";"6,77394";"6,89335";"12,04255";"5,05512";"0,62842";"0,03860"
"MU";"3302601";"Mangaratiba (RJ)";"100,00000";"36,40977";"23,76784";"12,64193";"38,82651";"21,19886";"1,52870";"1,62385";"0,40596";"0,00634"
"MU";"3302700";"Maricá (RJ)";"100,00000";"34,65843";"17,71721";"16,94121";"56,78656";"4,46130";"1,47711";"1,06597";"1,52068";"0,02995"
"MU";"3302809";"Mendes (RJ)";"100,00000";"64,91253";"52,53723";"12,37531";"8,31285";"4,95880";"10,06217";"11,37776";"0,36143";"0,01446"
"MU";"3302858";"Mesquita (RJ)";"100,00000";"97,06282";"90,08002";"6,98280";"0,21083";"0,25714";"1,14836";"1,16753";"0,12777";"0,02555"
"MU";"3302908";"Miguel Pereira (RJ)";"100,00000";"69,88293";"31,57073";"38,31220";"19,35610";"4,35122";"4,66341";"1,24878";"0,47805";"0,01951"
"MU";"3303005";"Miracema (RJ)";"100,00000";"91,40715";"90,24060";"1,16655";"3,07260";"0,49995";"2,24977";"2,67680";"0,08332";"0,01042"
"MU";"3303104";"Natividade (RJ)";"100,00000";"69,79441";"68,24811";"1,54630";"6,15006";"1,96802";"6,72992";"15,23458";"0,08786";"0,03514"
"MU";"3303203";"Nilópolis (RJ)";"100,00000";"98,80011";"97,05991";"1,74020";"0,09122";"0,13508";"0,13683";"0,74029";"0,08596";"0,01053"
"MU";"3303302";"Niterói (RJ)";"100,00000";"92,48761";"90,32762";"2,15999";"3,62997";"0,52701";"1,25918";"1,85766";"0,22572";"0,01285"
"MU";"3303401";"Nova Friburgo (RJ)";"100,00000";"74,54469";"68,03008";"6,51462";"16,65992";"4,25474";"0,45433";"3,90616";"0,17364";"0,00653"
"MU";"3303500";"Nova Iguaçu (RJ)";"100,00000";"88,67827";"78,71947";"9,95880";"1,78503";"1,43282";"5,73162";"1,76173";"0,58863";"0,02190"
