"Tabela 6806 - Domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"2022"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Total";"Tinham banheiro de uso exclusivo do domicílio";"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";"Apenas banheiro de uso comum a mais de um domicílio";"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";"Não tinham banheiro nem sanitário"
"MU";"3300308";"Barra do Piraí (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"4405";"4400";"2721";"1223";"309";"147";"2";"3";"-"
"MU";"3300308";"Barra do Piraí (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"1832";"1827";"1180";"440";"135";"72";"5";"-";"-"
"MU";"3300308";"Barra do Piraí (RJ)";"Fossa rudimentar ou buraco";"495";"489";"371";"89";"17";"12";"2";"4";"-"
"MU";"3300308";"Barra do Piraí (RJ)";"Vala";"3139";"3126";"2569";"514";"40";"3";"7";"6";"-"
"MU";"3300308";"Barra do Piraí (RJ)";"Rio, lago, córrego ou mar";"1987";"1982";"1587";"328";"59";"8";"5";"-";"-"
"MU";"3300308";"Barra do Piraí (RJ)";"Outra forma";"131";"129";"94";"29";"3";"3";"1";"1";"-"
"MU";"3300308";"Barra do Piraí (RJ)";"Não tinham banheiro nem sanitário";"14";"-";"-";"-";"-";"-";"-";"-";"14"
"MU";"3300407";"Barra Mansa (RJ)";"Total";"62890";"62836";"43634";"15328";"3002";"872";"38";"14";"2"
"MU";"3300407";"Barra Mansa (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"51607";"51583";"35144";"12944";"2708";"787";"21";"3";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Rede geral ou pluvial";"50542";"50518";"34345";"12728";"2665";"780";"21";"3";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"1065";"1065";"799";"216";"43";"7";"-";"-";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"988";"986";"632";"269";"52";"33";"2";"-";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Fossa rudimentar ou buraco";"381";"379";"306";"55";"12";"6";"1";"1";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Vala";"2982";"2973";"2333";"568";"57";"15";"5";"4";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Rio, lago, córrego ou mar";"6721";"6709";"5060";"1449";"170";"30";"9";"3";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Outra forma";"209";"206";"159";"43";"3";"1";"-";"3";"-"
"MU";"3300407";"Barra Mansa (RJ)";"Não tinham banheiro nem sanitário";"2";"-";"-";"-";"-";"-";"-";"-";"2"
"MU";"3300456";"Belford Roxo (RJ)";"Total";"180893";"180650";"151975";"24978";"3003";"694";"164";"56";"23"
"MU";"3300456";"Belford Roxo (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"159388";"159255";"133340";"22538";"2756";"621";"114";"19";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Rede geral ou pluvial";"142963";"142848";"119558";"20243";"2487";"560";"101";"14";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"16425";"16407";"13782";"2295";"269";"61";"13";"5";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"2824";"2819";"2446";"324";"33";"16";"3";"2";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Fossa rudimentar ou buraco";"4382";"4355";"3862";"444";"40";"9";"12";"15";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Vala";"8654";"8629";"7429";"1065";"105";"30";"15";"10";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Rio, lago, córrego ou mar";"4036";"4029";"3464";"494";"57";"14";"6";"1";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Outra forma";"1586";"1563";"1434";"113";"12";"4";"14";"9";"-"
"MU";"3300456";"Belford Roxo (RJ)";"Não tinham banheiro nem sanitário";"23";"-";"-";"-";"-";"-";"-";"-";"23"
"MU";"3300506";"Bom Jardim (RJ)";"Total";"10878";"10873";"7906";"2345";"464";"158";"1";"3";"1"
"MU";"3300506";"Bom Jardim (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"4829";"4828";"3335";"1181";"227";"85";"-";"1";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Rede geral ou pluvial";"4105";"4104";"2928";"946";"172";"58";"-";"1";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"724";"724";"407";"235";"55";"27";"-";"-";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"1892";"1892";"1279";"442";"120";"51";"-";"-";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Fossa rudimentar ou buraco";"766";"765";"594";"137";"26";"8";"-";"1";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Vala";"62";"62";"52";"8";"2";"-";"-";"-";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Rio, lago, córrego ou mar";"3303";"3301";"2630";"573";"85";"13";"1";"1";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Outra forma";"25";"25";"16";"4";"4";"1";"-";"-";"-"
"MU";"3300506";"Bom Jardim (RJ)";"Não tinham banheiro nem sanitário";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Total";"13384";"13357";"8230";"3807";"962";"358";"21";"3";"3"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"10878";"10863";"6477";"3239";"828";"319";"15";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Rede geral ou pluvial";"10654";"10639";"6369";"3153";"804";"313";"15";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"224";"224";"108";"86";"24";"6";"-";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"371";"371";"205";"110";"46";"10";"-";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Fossa rudimentar ou buraco";"433";"432";"330";"84";"13";"5";"-";"1";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Vala";"568";"567";"421";"121";"18";"7";"-";"1";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Rio, lago, córrego ou mar";"1073";"1070";"749";"247";"57";"17";"2";"1";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Outra forma";"58";"54";"48";"6";"-";"-";"4";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Não tinham banheiro nem sanitário";"3";"-";"-";"-";"-";"-";"-";"-";"3"
"MU";"3300704";"Cabo Frio (RJ)";"Total";"82015";"81904";"49851";"23182";"6437";"2434";"64";"30";"17"
"MU";"3300704";"Cabo Frio (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"50470";"50433";"30853";"13839";"4168";"1573";"29";"8";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Rede geral ou pluvial";"32602";"32575";"21351";"8339";"2150";"735";"20";"7";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"17868";"17858";"9502";"5500";"2018";"838";"9";"1";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"27483";"27451";"16379";"8256";"2041";"775";"21";"11";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Fossa rudimentar ou buraco";"3482";"3468";"2229";"965";"206";"68";"8";"6";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Vala";"201";"200";"171";"23";"5";"1";"-";"1";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Rio, lago, córrego ou mar";"56";"55";"43";"9";"2";"1";"-";"1";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Outra forma";"306";"297";"176";"90";"15";"16";"6";"3";"-"
"MU";"3300704";"Cabo Frio (RJ)";"Não tinham banheiro nem sanitário";"17";"-";"-";"-";"-";"-";"-";"-";"17"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Total";"22265";"22233";"15914";"4916";"1007";"396";"22";"8";"2"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"14783";"14773";"10363";"3451";"712";"247";"10";"-";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Rede geral ou pluvial";"11169";"11161";"8324";"2342";"384";"111";"8";"-";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"3614";"3612";"2039";"1109";"328";"136";"2";"-";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"3245";"3239";"2101";"806";"209";"123";"3";"3";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Fossa rudimentar ou buraco";"2485";"2478";"2085";"333";"44";"16";"5";"2";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Vala";"698";"696";"573";"109";"10";"4";"1";"1";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Rio, lago, córrego ou mar";"987";"986";"741";"212";"27";"6";"1";"-";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Outra forma";"65";"61";"51";"5";"5";"-";"2";"2";"-"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Não tinham banheiro nem sanitário";"2";"-";"-";"-";"-";"-";"-";"-";"2"
"MU";"3300902";"Cambuci (RJ)";"Total";"5799";"5788";"4087";"1359";"258";"84";"3";"4";"4"
"MU";"3300902";"Cambuci (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"3201";"3200";"2119";"839";"182";"60";"1";"-";"-"
"MU";"3300902";"Cambuci (RJ)";"Rede geral ou pluvial";"3003";"3002";"1965";"802";"176";"59";"1";"-";"-"
"MU";"3300902";"Cambuci (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"198";"198";"154";"37";"6";"1";"-";"-";"-"
"MU";"3300902";"Cambuci (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"329";"329";"260";"59";"6";"4";"-";"-";"-"
"MU";"3300902";"Cambuci (RJ)";"Fossa rudimentar ou buraco";"275";"275";"230";"41";"4";"-";"-";"-";"-"
"MU";"3300902";"Cambuci (RJ)";"Vala";"344";"343";"260";"71";"9";"3";"-";"1";"-"
"MU";"3300902";"Cambuci (RJ)";"Rio, lago, córrego ou mar";"1446";"1444";"1052";"319";"56";"17";"1";"1";"-"
"MU";"3300902";"Cambuci (RJ)";"Outra forma";"200";"197";"166";"30";"1";"-";"1";"2";"-"
"MU";"3300902";"Cambuci (RJ)";"Não tinham banheiro nem sanitário";"4";"-";"-";"-";"-";"-";"-";"-";"4"
"MU";"3300936";"Carapebus (RJ)";"Total";"5034";"5013";"3575";"1169";"210";"59";"11";"9";"1"
"MU";"3300936";"Carapebus (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"2988";"2986";"2092";"725";"136";"33";"1";"1";"-"
"MU";"3300936";"Carapebus (RJ)";"Rede geral ou pluvial";"2612";"2610";"1827";"633";"121";"29";"1";"1";"-"
"MU";"3300936";"Carapebus (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"376";"376";"265";"92";"15";"4";"-";"-";"-"
"MU";"3300936";"Carapebus (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"858";"856";"586";"219";"36";"15";"2";"-";"-"
"MU";"3300936";"Carapebus (RJ)";"Fossa rudimentar ou buraco";"860";"855";"640";"173";"32";"10";"5";"-";"-"
"MU";"3300936";"Carapebus (RJ)";"Vala";"227";"221";"182";"35";"4";"-";"2";"4";"-"
"MU";"3300936";"Carapebus (RJ)";"Rio, lago, córrego ou mar";"78";"78";"63";"12";"2";"1";"-";"-";"-"
"MU";"3300936";"Carapebus (RJ)";"Outra forma";"22";"17";"12";"5";"-";"-";"1";"4";"-"
"MU";"3300936";"Carapebus (RJ)";"Não tinham banheiro nem sanitário";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Total";"3015";"3012";"2207";"664";"109";"32";"1";"2";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"2261";"2259";"1641";"507";"86";"25";"1";"1";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Rede geral ou pluvial";"2036";"2035";"1483";"458";"73";"21";"1";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"225";"224";"158";"49";"13";"4";"-";"1";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"78";"78";"57";"14";"4";"3";"-";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Fossa rudimentar ou buraco";"10";"10";"8";"2";"-";"-";"-";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Vala";"52";"52";"46";"6";"-";"-";"-";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Rio, lago, córrego ou mar";"613";"613";"455";"135";"19";"4";"-";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Outra forma";"1";"-";"-";"-";"-";"-";"-";"1";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Não tinham banheiro nem sanitário";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"Total";"175744";"175194";"122651";"38838";"9945";"3760";"268";"219";"63"
