"Tabela 6326 - Domicílios particulares permanentes ocupados, por tipo de domicílio"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de domicílio"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Casa";"Casa de vila ou em condomínio";"Apartamento";"Habitação em casa de cômodos ou cortiço";"Habitação indígena sem paredes ou maloca";"Estrutura residencial permanente degradada ou inacabada"
"MU";"3300902";"Cambuci (RJ)";"100,00000";"97,08570";"0,29315";"2,58665";"-";"-";"0,03449"
"MU";"3300936";"Carapebus (RJ)";"100,00000";"97,45729";"0,99325";"1,48987";"0,05959";"-";"-"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"100,00000";"97,37977";"0,56385";"1,79104";"0,09950";"-";"0,16584"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"100,00000";"84,49051";"2,15313";"13,26190";"0,06373";"-";"0,03073"
"MU";"3301108";"Cantagalo (RJ)";"100,00000";"91,68610";"0,97407";"7,28495";"0,05488";"-";"-"
"MU";"3301157";"Cardoso Moreira (RJ)";"100,00000";"98,91675";"0,12036";"0,90271";"0,02006";"-";"0,04012"
"MU";"3301207";"Carmo (RJ)";"100,00000";"90,55813";"0,25438";"9,15756";"0,01496";"-";"0,01496"
"MU";"3301306";"Casimiro de Abreu (RJ)";"100,00000";"92,37594";"3,17028";"4,17579";"0,10646";"-";"0,17153"
"MU";"3301405";"Conceição de Macabu (RJ)";"100,00000";"92,78572";"1,06316";"6,13846";"0,01266";"-";"-"
"MU";"3301504";"Cordeiro (RJ)";"100,00000";"88,17691";"0,86694";"10,91846";"0,03769";"-";"-"
"MU";"3301603";"Duas Barras (RJ)";"100,00000";"95,08552";"0,28909";"4,57721";"0,04818";"-";"-"
"MU";"3301702";"Duque de Caxias (RJ)";"100,00000";"84,59257";"8,99203";"6,12620";"0,25632";"-";"0,03288"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"100,00000";"97,89188";"0,39658";"1,60718";"0,10436";"-";"-"
