ano,id_municipio,Município,Sigla UF,População Total Residente,População Rural Residente,População Urbana Residente,População total atendida com abastecimento de água,População urbana atendida com rede de abastecimento de água,Atendimento da população urbana com rede de abastecimento de água,Atendimento da população total com rede de abastecimento de água,População total atendida com esgotamento sanitário,População urbana atendida com rede de esgotamento sanitário,Extensão de rede de distribuição de água,Extensão da rede pública de esgotamento sanitário,Quantidade de ligações ativas de água,Quantidade de ligações ativas de esgoto,Volume de água produzido,Volume de água tratada em ETAs,Volume de água consumido,Volume de água tratada por simples desinfecção,Volume de água tratada importado,Volume de água tratada exportado,Volume de água fluoretada,Extensão de rede de distribuição de água.1,Volume total de esgoto coletado,Volume total de esgoto tratado ,Volume total de esgoto bruto exportado ,Volume total de esgoto bruto importado para tratamento ,Extensão da rede pública de esgotamento sanitário.1,Atendimento da população urbana com rede coletora de esgoto,Esgoto tratado referido ao esgoto coletado,Perda na Distribuição de Água,Índice de Macromedição,Índice de Hidrometração,Investimento Total (prestador + município + estado),Investimento per Capita,Quantidade de domicílios totais,Quantidade de domicílios urbanos,Quantidade de domicílios rurais,Área do município,Cobertura da população total com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta de resíduos sólidos domiciliares,Cobertura da população rural com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta direta de resíduos sólidos,Cobertura da população total com coleta seletiva de resíduos sólidos,Cobertura da população urbana com coleta seletiva direta de resíduos sólidos,Incidência do transbordo de resíduos sólidos urbanos,Capacidade média utilizada dos veículos motorizados na coleta de RSU,Quantidade média de pontos de entrega voluntária (PEV) de recicláveis por mil habitantes,Massa média per capita de resíduos sólidos urbanos coletados,Massa média per capita de resíduos sólidos domiciliares coletados,Massa média per capita de resíduos de limpeza urbana coletados,Massa média per capita de resíduos domiciliares coletados na coleta seletiva,Massa média per capita de resíduos domiciliares secos e orgânicos recuperados,Desempenho da coleta seletiva,Disposição final inadequada de resíduos sólidos urbanos,Recuperação de recicláveis secos em relação à composição gravimétrica,Recuperação de recicláveis orgânicos em relação à composição gravimétrica,Recuperação de recicláveis secos e orgânicos em relação ao total coletado,Recuperação de recicláveis secos em relação ao total coletado,Recuperação de recicláveis orgânicos em relação ao total coletado
2024,3301306,Casimiro de Abreu,RJ,20965,583,20382,24837.0,62326.0,,,24837.0,24837.0,81.0,46.53,16682.0,7921.0,2357.96,2358.0,2392.0,0.0,1878.0,0.0,2199.66,260.0,918.0,918.0,0.0,0.0,46.53,53.94,100.0,39.35,51.93,88.76,,,25634.0,24306.0,1328.0,462.92,100.0,100.0,100.0,56.46,0.0,0.0,40.5,1834.0,0.0,1.66,0.67,1.04,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3301405,Conceição de Macabu,RJ,11096,3243,7853,11108.0,15689.0,80.0,100.0,11108.0,10785.0,74.13,100.0,5920.0,4187.0,750.0,0.0,470.0,0.0,0.0,0.0,0.0,18.0,376.0,0.0,0.0,0.0,100.0,54.99,0.0,37.33,0.0,7.79,,,10836.0,9799.0,1037.0,338.26,91.87,91.78,92.72,91.78,0.0,0.0,0.0,4804.0,0.0,1.21,0.92,0.4,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3301504,Cordeiro,RJ,878402,2989,875413,2715.0,20882.0,100.0,100.0,2715.0,2715.0,260.0,27.78,7087.0,718.0,3875.0,3558.0,1403.0,316.0,0.0,1103.0,3558.0,76.0,247.0,247.0,0.0,0.0,27.78,13.0,100.0,34.92,100.0,90.47,,,9883.0,9624.0,259.0,113.05,100.0,100.0,100.0,97.73,0.0,0.0,0.0,2748.35,0.0,0.7,0.56,0.14,0.0,0.0,0.0,100.0,,,0.0,0.0,0.0
2024,3301603,Duas Barras,RJ,13566,3806,9760,,8168.0,100.0,100.0,,,18.0,,3171.0,,604.0,604.0,411.0,0.0,0.0,0.0,604.0,51.0,,,,,,,,29.97,100.0,87.47,,,5644.0,4044.0,1600.0,379.62,100.0,100.0,100.0,93.05,0.0,0.0,0.0,1506.05,0.09,0.73,0.61,0.16,0.0,0.0,0.0,100.0,,,0.0,0.0,0.0
2024,3301702,Duque de Caxias,RJ,55626,1877,53749,172854.0,751913.0,87.0,81.66,172854.0,172854.0,76.0,227.0,156287.0,21921.0,47718.92,8264.0,68613.0,39455.06,53225.0,0.0,8263.83,1766.0,4259.0,343.0,3916.0,0.0,227.0,20.0,100.0,27.77,47.27,34.89,,,376423.0,375520.0,903.0,467.32,99.76,100.0,0.0,100.0,0.0,0.0,0.0,16064.26,0.0,2.29,2.24,0.05,0.0,0.0,0.0,100.0,,,0.0,0.0,0.0
2024,3301801,Engenheiro Paulo de Frontin,RJ,25354,0,25354,,10445.0,100.0,100.0,,,,,2960.0,,836.28,836.0,379.0,0.0,0.0,0.0,0.0,76.89,,,,,,,,41.76,0.0,99.04,,,6736.0,5563.0,1173.0,139.38,,,,,,,,,,,,,,,,,,,,,
2024,3301876,Iguaba Grande,RJ,227168,2705,224463,26547.0,28907.0,98.0,98.0,26547.0,26547.0,51.0,11.85,17271.0,17271.0,3241.52,3242.0,1580.0,0.0,0.0,0.0,3241.52,319.66,1845.0,1845.0,0.0,0.0,11.85,90.0,100.0,50.77,100.23,98.23,,,21996.0,21938.0,58.0,50.98,100.0,100.0,100.0,100.0,0.0,0.0,0.0,1443.71,0.0,0.94,0.7,0.23,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3301900,Itaboraí,RJ,117374,5253,112121,19009.0,102175.0,43.0,31.92,19009.0,19009.0,1766.0,96.01,20356.0,1128.0,13628.0,13582.0,2317.0,46.0,965.0,786.0,13582.0,468.0,475.0,475.0,0.0,0.0,96.01,8.0,100.0,78.56,93.39,49.01,,,117124.0,115941.0,1183.0,429.96,100.0,100.0,100.0,100.0,0.0,0.0,0.0,5520.23,0.0,0.76,0.56,0.19,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3302007,Itaguaí,RJ,14489,3937,10552,0.0,84699.0,69.75,76.64,0.0,0.0,76.89,0.0,39939.0,0.0,2992.0,0.0,8326.0,0.0,0.0,0.0,0.0,361.69,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,39.41,,,60271.0,59030.0,1241.0,282.61,97.92,99.98,0.0,99.88,0.0,0.0,0.0,3296.0,0.16,1.24,0.79,0.48,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3302056,Italva,RJ,22824,5555,17269,12969.0,11286.0,100.0,100.0,12969.0,10495.0,319.66,6.0,3712.0,980.0,1476.74,1477.0,524.0,0.0,0.0,0.0,0.0,99.0,430.0,0.0,0.0,0.0,6.0,92.99,0.0,62.62,0.0,94.16,,,6866.0,5337.0,1529.0,291.19,100.0,100.0,100.0,100.0,0.0,0.0,100.0,984.0,0.0,0.74,0.58,0.21,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3302106,Itaocara,RJ,98521,7682,90839,,19262.0,100.0,100.0,,,468.0,,7719.0,,2869.0,2869.0,1365.0,0.0,35.0,360.0,2869.0,140.0,,,,,,,,40.22,98.79,93.91,,,12282.0,9966.0,2316.0,433.18,74.99,74.76,76.01,38.8,0.0,0.0,0.0,1720.1,0.0,1.0,0.93,0.36,0.0,0.0,0.0,29.65,0.0,0.0,0.0,0.0,0.0
2024,3302205,Itaperuna,RJ,29996,1011,28985,95500.0,88289.0,87.35,87.35,95500.0,95500.0,361.69,220.0,24863.0,37494.0,8199.36,8199.0,4675.0,0.0,0.0,0.0,0.0,127.84,5000.0,0.0,0.0,0.0,220.0,94.48,0.0,42.28,0.0,95.24,,,51826.0,48847.0,2979.0,1106.69,94.25,100.0,0.0,100.0,94.18,99.92,98.68,2857.64,0.59,0.88,0.85,0.08,4.91,4.47,1.59,0.0,0.03,0.0,1.32,1.32,0.0
2024,3302254,Itatiaia,RJ,99141,0,99141,23112.0,23482.0,73.0,90.0,23112.0,22586.0,99.0,30.0,5870.0,4066.0,5834.16,0.0,390.0,4654.71,0.0,0.0,0.0,62.5,1484.0,1080.0,0.0,0.0,30.0,70.21,72.77,92.62,0.0,0.0,,,15884.0,15629.0,255.0,241.04,100.0,100.0,100.0,0.0,0.0,0.0,0.0,2486.67,0.03,0.63,0.3,0.33,0.0,0.0,0.0,4.02,,,0.0,0.0,0.0
2024,3302270,Japeri,RJ,7341,1814,5527,,83826.0,83.0,65.74,,,140.0,,18205.0,,0.0,,3800.0,,13057.0,0.0,,257.0,,,,,,,,69.31,,20.76,,,42869.0,42385.0,484.0,81.7,100.0,100.0,100.0,100.0,100.0,100.0,0.0,2157.72,0.0,0.52,0.52,0.0,1.37,1.06,0.73,0.0,,,0.56,0.56,0.0
2024,3302304,Laje do Muriaé,RJ,229624,4298,225326,7584.0,5831.0,100.0,100.0,7584.0,5831.0,127.84,55.0,2427.0,625.0,473.04,473.0,336.0,0.0,0.0,0.0,0.0,22.0,450.0,0.0,0.0,0.0,55.0,100.0,0.0,28.24,0.0,99.91,,,3884.0,2954.0,930.0,253.53,95.37,100.0,79.98,100.0,0.0,0.0,0.0,4326.0,0.0,3.13,1.95,1.65,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
