Ano,Codigo do IBGE,Município,Sigla UF,População Total Residente,População Urbana Residente,População total atendida com abastecimento de água,População urbana atendida com rede de abastecimento de água,Atendimento da população urbana com rede de abastecimento de água,Atendimento da população total com rede de abastecimento de água,População total atendida com esgotamento sanitário,População urbana atendida com rede de esgotamento sanitário,Extensão de rede de distribuição de água,Extensão da rede pública de esgotamento sanitário,Quantidade de ligações ativas de água,Quantidade de ligações ativas de esgoto,Volume de água produzido,Volume de água tratada em ETAs,Volume de água consumido,Volume de água tratada por simples desinfecção,Volume de água tratada importado,Volume de água tratada exportado,Volume de água fluoretada,Extensão de rede de distribuição de água,Volume total de esgoto coletado,Volume total de esgoto tratado ,Volume total de esgoto bruto exportado ,Volume total de esgoto bruto importado para tratamento ,Extensão da rede pública de esgotamento sanitário,Atendimento da população urbana com rede coletora de esgoto,Esgoto tratado referido ao esgoto coletado,Perda na Distribuição de Água,Índice de Macromedição,Índice de Hidrometração,Investimento Total (prestador + município + estado),Investimento per Capita,População Rural Residente,Quantidade de domicílios totais,Quantidade de domicílios urbanos,Quantidade de domicílios rurais,Área do município,Cobertura da população total com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta de resíduos sólidos domiciliares,Cobertura da população rural com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta direta de resíduos sólidos,Cobertura da população total com coleta seletiva de resíduos sólidos,Cobertura da população urbana com coleta seletiva direta de resíduos sólidos,Incidência do transbordo de resíduos sólidos urbanos,Capacidade média utilizada dos veículos motorizados na coleta de RSU,Quantidade média de pontos de entrega voluntária (PEV) de recicláveis por mil habitantes,Massa média per capita de resíduos sólidos urbanos coletados,Massa média per capita de resíduos sólidos domiciliares coletados,Massa média per capita de resíduos de limpeza urbana coletados,Massa média per capita de resíduos domiciliares coletados na coleta seletiva,Massa média per capita de resíduos domiciliares secos e orgânicos recuperados,Desempenho da coleta seletiva,Disposição final inadequada de resíduos sólidos urbanos,Recuperação de recicláveis secos em relação à composição gravimétrica,Recuperação de recicláveis orgânicos em relação à composição gravimétrica,Recuperação de recicláveis secos e orgânicos em relação ao total coletado,Recuperação de recicláveis secos em relação ao total coletado,Recuperação de recicláveis orgânicos em relação ao total coletado
2014,3305208,São Pedro da Aldeia,RJ,,89106,86014,86014,"96,50","90,24",68692,68692,"446,28",53,33040,33040,"7.417,39",7417,4201,0,0,0,"7.417,39","12,30",3608,3608,0,0,"1,52","85,89",100,"32,10",100,"98,18","18.356.617,42","206,01",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305307,São Sebastião do Alto,RJ,,4684,4703,2439,"52,10","52,06",,,26,,1428,,580,580,330,0,0,0,0,"16,30",,,,,,,,"43,10",0,"98,88","14.039,41","3,00",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305406,Sapucaia,RJ,,13336,16027,12139,91,"91,02",,,56,,4635,,1753,1753,1164,0,0,38,0,"11,40",,,,,,,,"33,60",0,"99,95","129.597,49","9,72",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305505,Saquarema,RJ,,76797,73124,72500,"94,40","90,37",58970,58570,410,55,16285,14840,0,0,1894,0,2400,0,0,"18,80",1010,1010,0,0,"3,12","53,30",100,"21,07",0,"99,39",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305554,Seropédica,RJ,,67495,58254,47897,71,"70,96",27572,27572,286,53,13802,6300,6507,0,4681,6507,0,0,6507,20,1666,0,0,0,"8,12","35,59",0,"24,28",100,"32,25","30.187.341,39","447,25",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305604,Silva Jardim,RJ,,16111,17126,15960,"99,10","80,27",9904,9404,80,22,6000,2057,0,0,478,0,650,0,0,"11,30",256,256,0,0,"8,67","53,58",100,"26,50",0,"98,48",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305703,Sumidouro,RJ,,5513,4451,1625,"29,50","29,48",4700,4500,26,7,1449,1912,425,425,355,0,0,0,0,"15,80",750,0,0,0,"3,66",100,0,"16,47",0,"99,86","1.719.425,14","311,89",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305752,Tanguá,RJ,,28685,21784,19442,"67,80","67,78",10126,10126,17,13,4391,1976,1613,1613,1241,0,0,0,0,"3,40",422,0,0,0,"9,86",34,0,"23,06",0,"14,71","217.715,59","7,59",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305802,Teresópolis,RJ,,153114,148802,132864,"86,80","86,77",34671,34671,391,60,28181,5978,16285,16285,11299,0,0,0,0,"12,30",1954,0,0,0,"8,78","17,29",0,"30,62",0,"99,02","380.111,72","2,48",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3305901,Trajano de Moraes,RJ,,4807,2771,1288,"26,80","26,78",,,8,,843,,325,325,165,0,0,0,325,"9,30",,,,,,,,"49,23",0,"21,60","14.039,41","2,92",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3306008,Três Rios,RJ,,76685,77432,75165,98,"98,02",77432,75165,"242,73","196,22",23238,16936,"9.303,12",9303,6512,0,0,"106,83","9.303,12","7,10",8373,284,0,0,"9,32",100,"3,39","28,54",100,"93,61","1.182.504,22","15,42",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3306107,Valença,RJ,,63612,65934,57106,"89,80","89,77",29574,29574,155,58,16901,6810,5141,5017,4306,0,0,0,0,"8,50",1404,0,0,0,"8,51","32,61",0,"13,33",0,"77,06","781.627,54","12,29",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3306156,Varre-Sai,RJ,,6090,6042,3692,"60,60","60,63",6090,6090,18,"40,75",974,3045,468,468,379,0,0,0,0,"10,10",609,0,0,0,"13,38",100,0,"19,02",0,"73,84","18.439,82","3,03",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3306206,Vassouras,RJ,,23782,33348,22483,"94,50","94,54",18901,18901,150,26,9238,1737,3556,3378,2092,155,0,0,0,"14,50",539,79,0,0,"13,65","25,76","14,66","39,64",0,"96,80","12.431.059,08","522,71",,,,,,,,,,,,,,,,,,,,,,,,,,
2014,3306305,Volta Redonda,RJ,,262140,262140,262140,100,"99,95",259519,259519,"881,20","719,20",77800,69362,"38.959,39",37108,21051,0,0,"1.612,89","37.108,28","10,90",16536,2811,0,0,"9,75","85,07",17,"41,86","95,04","99,11",35899482,"136,95",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300100,Angra dos Reis,RJ,,181366,176612,171845,"94,80","93,80",86606,86606,"389,83",232,42518,21651,"21.160,11",817,18254,"16.842,46","2.810,21",5584,0,11,6322,1075,0,0,"11,51","49,90",17,"23,85",0,"35,07","193.666,37","1,07",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300159,Aperibé,RJ,,9582,10582,9199,96,96,,,37,,3285,,948,948,658,0,472,0,0,"10,20",,,,,,,,"53,66",0,"97,65","27.581,42","2,88",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300209,Araruama,RJ,,116808,115615,114490,98,"94,10",80782,80210,727,107,42578,27804,"22.396,88",22397,10325,0,0,4200,0,"17,40",5929,5929,0,0,"3,54","96,80",100,"50,99","92,71","99,28","12.491.020,61","106,94",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300225,Areal,RJ,,10398,11970,10398,100,100,,,38,,2341,,"876,50",789,781,"87,60",0,0,0,"14,50",,,,,,,,"10,91",0,"95,09","251.234,62","24,16",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300233,Armação dos Búzios,RJ,,31067,30172,30172,"97,10","97,12",23965,23965,278,49,12863,12863,4693,4693,3103,0,0,0,4693,"20,30",2383,2383,0,0,"3,51","76,81",100,"23,96",100,"99,21","7.281.274,68","234,37",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300258,Arraial do Cabo,RJ,,29097,28259,28259,"97,10","97,12",,,142,,11550,,2856,2856,1613,0,0,0,2856,"11,60",,,,,,,,"33,25",100,"99,33","2.949.105,70","101,35",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300308,Barra do Piraí,RJ,,93982,96865,93982,100,100,93694,93694,"226,52","113,38",30910,24801,"8.205,56",8206,1979,0,0,0,0,"7,10",1184,0,0,0,"4,43","59,86",0,"75,89","4,27","31,76","320.423,47","3,41",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300407,Barra Mansa,RJ,,178276,176279,176200,"98,80","97,98",160254,152742,"646,50","303,74",43624,37319,"14.298,41",13998,9795,"147,40","1.157,71",0,"13.813,76","13,70",9737,300,0,0,"7,39","99,41","3,08","35,37","89,36","99,52","1.255.440,18","7,04",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300456,Belford Roxo,RJ,,481127,386256,386256,"80,30","80,28",196024,196024,"555,48",418,83309,42215,62181,53580,31607,8601,0,0,53580,"5,90",12166,10781,0,0,"8,82","38,49","88,61","46,49",100,"37,68","5.406.394,31","11,24",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300506,Bom Jardim,RJ,,15835,16366,9862,"62,30","62,28",16000,15000,76,1,4507,9,1822,1822,1383,0,0,0,1822,16,1000,6,16,5,100,"72,31","1,89","24,09",0,"99,90","74.850,73","4,73",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300605,Bom Jesus do Itabapoana,RJ,,30394,32960,27856,"91,70","91,65",33500,29800,63,81,8969,13780,4336,4336,3395,0,0,0,0,"6,60",2720,0,3487,0,"5,67","80,12",0,"21,70",0,"80,88","485.162,84","15,96",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300704,Cabo Frio,RJ,,157251,152722,152722,"97,10","73,27",121303,121303,1104,44,67976,67976,18119,18119,9666,0,0,0,18119,"15,10",10953,10953,0,0,"0,56",100,100,"36,78",100,"96,77","29.838.561,19","189,75",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300803,Cachoeiras de Macacu,RJ,,48689,48997,48317,"99,20","87,04",32000,28420,"328,76",123,14983,6230,13164,0,12293,"12.569,45",0,9513,0,"19,50",1425,0,0,0,"16,05","51,25",0,"6,62",0,"2,33","3.244,87","0,07",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300902,Cambuci,RJ,,11299,11657,8878,"78,60","78,57",,,62,,3895,,1194,936,795,258,0,0,0,"14,80",,,,,,,,"33,42",0,"97,95","27.581,42","2,44",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300936,Carapebus,RJ,,11843,4372,3450,"29,10","29,13",,,25,,1285,,388,388,288,0,0,0,0,"17,50",,,,,,,,"25,77",0,"90,26","4.056,09","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3300951,Comendador Levy Gasparian,RJ,,7929,8225,7915,"99,80","99,70",8225,7925,"50,62","45,50",4248,3772,"1.326,50",790,797,"536,50",0,0,0,"6,70",738,0,0,0,"8,65","92,66",0,"39,92",0,"36,47","494.110,88","62,32",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301009,Campos dos Goytacazes,RJ,,437000,437000,437000,100,"90,29",369972,369972,"1.300,20","751,40",95991,55452,"29.462,90",28954,16437,"509,30",0,0,"28.953,60",11,10886,10886,0,0,"11,66","66,23",100,"44,01","99,63","99,10","15.710.487,06","35,95",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301108,Cantagalo,RJ,,13972,15390,10882,"77,90","77,89",14500,13972,67,"34,50",4564,3433,320,320,885,0,1192,0,0,"14,20",885,147,0,0,"9,48","99,94","16,57","41,47",0,"95,13","163.808,64","11,72",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301157,Cardoso Moreira,RJ,,8728,8407,5843,67,"66,95",,,34,,2900,,1244,1217,691,27,0,0,0,"10,80",,,,,,,,"44,45",0,"79,32","26.770,20","3,07",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301306,Casimiro de Abreu,RJ,,32522,39797,32455,"99,80","98,74",22991,22537,143,54,12361,6260,"11.727,26",11727,8990,0,0,7021,"1.572,26","10,70",911,304,0,0,"8,04","46,27","33,33","23,03",,"86,91","1.948.309,75","59,91",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301504,Cordeiro,RJ,,20477,20879,20299,"99,10","99,13",9706,9706,75,24,5974,2481,2835,2835,2387,0,0,992,1677,"11,90",830,710,0,0,"9,28","59,50","85,54","15,80",0,"99,97","119.789,35","5,85",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301603,Duas Barras,RJ,,7871,8732,6180,"78,50","78,52",1578,1578,15,8,2758,422,500,500,402,0,0,0,299,5,80,60,0,0,"18,10","19,90",75,"19,60",0,"99,85","24.742,16","3,14",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301702,Duque de Caxias,RJ,,879725,761287,761287,"86,50","86,24",389657,389657,"1.277,92",675,153394,75820,108794,79023,61344,29771,0,0,79023,"7,80",25447,4345,0,0,"8,42","41,48","17,07","40,65",100,"38,53","9.518.013,68","10,82",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301801,Engenheiro Paulo de Frontin,RJ,,9803,7347,5286,"53,90","53,92",10129,6533,49,20,2427,2021,740,740,478,0,0,0,0,"14,50",764,0,0,0,"9,90",100,0,"18,98",0,"98,56","872.358,98","88,99",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301850,Guapimirim,RJ,,54608,38640,38640,"70,80","68,37",,,"108,75",,7689,,"2.838,24",2838,1377,0,0,0,0,"11,80",,,,,,,,"50,53",0,"97,40","54.499,36","1,00",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301876,Iguaba Grande,RJ,,25901,25155,25155,"97,10","97,12",19980,19980,274,9,13789,13789,2882,2882,1400,0,0,0,2882,"18,50",1392,1392,0,0,"0,61","99,46",100,"42,58",100,"96,56","5.993.585,04","231,40",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3301900,Itaboraí,RJ,,226280,184237,182043,"80,50","80,45",96884,96884,379,115,43804,22435,15075,15075,11923,0,0,0,0,"7,50",4555,223,0,0,"4,51","38,20","4,90","20,91",0,"18,37","53.540,41","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302007,Itaguaí,RJ,,113811,106031,101286,89,"88,99",46662,46662,"553,05",100,25062,10933,11178,0,7577,11178,0,0,11178,"21,10",2630,0,0,0,"8,73","34,71",0,"28,65","76,33","46,49","806.350,95","7,09",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302056,Italva,RJ,,10611,12370,9009,"84,90","84,91",11545,10195,46,"26,10",3706,1920,1913,1913,999,0,0,0,0,12,1055,347,0,0,"12,81",100,"32,87","47,78",0,"67,30","834.865,64","78,68",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302106,Itaocara,RJ,,17235,20672,15641,"90,80","90,75",,,85,,6599,,3557,3488,2499,69,64,0,0,"11,60",,,,,,,,"30,99",0,"94,22","60.841,37","3,53",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302205,Itaperuna,RJ,,91300,91745,84592,"92,70","92,65",24282,24282,112,149,21629,5378,13096,13096,6352,0,0,0,0,"4,80",1288,591,0,0,"26,09","20,28","45,89","51,50",0,"91,05","9.048.914,58","99,11",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302254,Itatiaia,RJ,,29221,28852,27882,"95,40","95,41",18897,18897,"106,60","65,50",8705,5391,5100,0,2524,5100,0,0,0,"12,10",1584,0,0,0,"12,25","62,76",0,"50,51",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302270,Japeri,RJ,,99863,73860,73860,74,"73,96",,,"154,30",,20247,,9740,0,4314,9740,0,0,4778,"7,40",,,,,,,,"53,38",100,"11,51","6.483.703,48","64,93",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302304,Laje do Muriaé,RJ,,5495,6725,5063,"92,10","92,15",1398,1398,17,8,2004,450,756,756,435,0,0,0,0,"7,80",77,0,0,0,"16,67","17,70",0,"42,46",0,"99,85","19.469,24","3,54",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302403,Macaé,RJ,,230237,201056,197574,"85,80","85,69",70500,68000,525,120,43705,13877,19266,17952,16200,0,0,0,0,"11,40",2500,0,0,0,"8,52","15,43",0,"15,91",0,"60,22","472.630,62","2,05",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302452,Macuco,RJ,,4705,5371,4682,"99,50","99,50",2530,2530,29,7,2302,1002,796,796,520,0,0,0,796,"11,80",191,0,0,0,"6,59","36,73",0,"34,67",0,"99,96","31.231,90","6,64",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302502,Magé,RJ,,222325,185319,175467,"78,90","78,92",99496,99496,269,166,33910,17241,13841,13841,10763,0,0,0,0,"7,40",4275,0,0,0,"8,96","39,72",0,"22,24",0,"4,12","5.143.768,69","23,14",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302601,Mangaratiba,RJ,,35929,37111,32697,91,"91,01",5316,5316,378,10,8150,1133,3639,0,3053,3639,0,0,3639,"43,30",334,0,0,0,"8,20","10,94",0,"11,69",0,"54,87","99.779,85","2,78",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302700,Maricá,RJ,,144284,85402,84082,"58,30","58,28",17708,17708,90,23,23566,4831,5464,5464,4250,0,0,0,0,"3,80",680,232,0,0,"4,63",16,"34,12","22,22",0,"45,36","7.536.889,51","52,24",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302858,Mesquita,RJ,,170751,165729,165729,"97,10","97,06",74641,74641,"412,02",179,47110,20193,21995,21995,10220,0,0,0,21995,"8,80",3221,0,0,0,"8,89","31,52",0,"51,09",100,"26,04","113.135,31","0,66",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3302908,Miguel Pereira,RJ,,21676,24810,21648,"99,90","99,87",11300,11300,144,"33,77",7024,3000,4360,4360,1556,0,0,0,0,"18,80",428,428,0,0,10,"27,51",100,"63,30",0,"99,17","130.408,91","6,02",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303005,Miracema,RJ,,24577,26604,24520,"99,80","99,77",25865,23839,74,55,8013,7374,3057,3057,1810,0,0,0,0,"8,20",1804,0,0,0,"7,46","99,67",0,"40,79",0,"87,30","121.682,74","4,95",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303104,Natividade,RJ,,11991,12678,10126,"84,50","84,45",10840,10840,37,40,3798,2400,1945,1866,891,79,0,0,0,"8,60",396,119,0,0,16,"44,41",30,"54,19",0,"89,63","84.366,70","7,04",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303203,Nilópolis,RJ,,158309,157972,157972,"99,80","99,79",157972,157972,"241,13",190,36013,36600,21894,21894,12838,0,0,0,21894,"6,10",3796,0,0,0,"4,87","29,57",0,"38,28",100,"82,72","120.916,68","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303302,Niterói,RJ,,496696,496696,496696,100,100,462403,462403,"1.305,70","738,30",88508,69410,0,0,37952,0,"56.113,60",0,0,"13,10",42758,42758,0,0,"10,58",100,100,"31,26",100,"87,86","25.428.288,62","51,19",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303401,Nova Friburgo,RJ,,161739,161739,161739,100,"87,53",155993,155993,"675,60","417,70",39316,36570,"15.540,30",15540,8651,0,0,0,"14.008,90","15,70",8174,7386,0,0,"11,19","94,49","90,36","41,40",95,"96,82","9.599.632,78","59,35",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303500,Nova Iguaçu,RJ,,798675,755840,747588,"93,60","93,60",363748,363748,"737,85",560,157152,78612,119617,88650,65274,30967,0,0,89845,4,23607,36,0,0,"6,50","36,17","0,15","42,56",100,"49,36","15.584.424,95","19,51",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303609,Paracambi,RJ,,43844,36449,32271,"73,60","73,60",22706,22706,"93,30","68,23",10003,5628,3519,669,2594,2850,0,0,3519,"8,80",973,0,0,0,"11,20","37,52",0,"22,41","72,75","49,24","13.385,10","0,31",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303708,Paraíba do Sul,RJ,,37273,40282,35448,"95,10","95,10",,,113,,10884,,3379,3379,2712,0,124,0,0,"9,90",,,,,,,,"19,24",0,"97,30","1.606.672,55","43,11",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303807,Paraty,RJ,,29862,29862,29862,100,"73,77",,,"94,70",,6996,,"5.132,20",0,3108,3888,"1.244,20",0,"1.244,20","10,50",,,,,,,,"50,81","80,49",0,827000,"27,69",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303856,Paty do Alferes,RJ,,18909,19453,13716,"72,50","72,54",17460,4800,94,"4,10",5519,56,2427,2427,1144,0,0,0,0,"15,60",402,0,0,0,"7,51","35,14",0,"51,55",0,"99,18","453.493,17","23,98",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303906,Petrópolis,RJ,,283401,280362,270185,"95,30","94,04",248992,246502,"732,20","273,90",53825,44009,"15.810,60",15552,12173,"258,60",0,0,1552,"12,10",12528,10052,0,0,"5,62",100,"80,24","21,53",100,"99,93","9.445.701,19","33,33",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3303955,Pinheiral,RJ,,21460,21542,19354,"90,20","90,18",23887,21460,149,"48,60",6651,5429,2515,2515,1344,0,0,0,0,"20,30",1079,0,0,0,"7,55","80,30",0,"46,56",0,"89,09","3.625.917,59","168,96",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304003,Piraí,RJ,,22043,27700,21934,"99,50","99,50",10044,10044,185,27,8647,3008,3639,3500,2009,139,0,0,0,"19,70",575,320,0,0,"8,22","28,62","55,65","41,92",0,"86,83","450.498,74","20,44",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304102,Porciúncula,RJ,,14124,17536,13715,"97,10","97,10",1420,1420,40,6,5197,370,1945,1860,1255,85,0,0,0,7,100,0,0,0,"13,95","7,97",0,"35,48",0,"78,90","31.637,51","2,24",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304110,Porto Real,RJ,,18161,17867,17662,"97,30","97,82",17682,17667,"46,80","44,30",6320,6180,"2.257,89",2258,2168,0,0,0,"259,20","7,30",1732,724,0,0,"7,05","79,91","41,83","3,97",0,0,31000,"1,71",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304128,Quatis,RJ,,12734,13543,12734,100,100,13543,12734,"32,50","20,20",3720,3720,3392,2875,2300,"259,20",0,0,0,"8,20",2300,1380,0,0,"5,77",100,60,"32,19",0,"94,48","2.313.669,58","181,69",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304144,Queimados,RJ,,143632,122314,122314,"85,20","85,16",58501,58501,"374,09",132,31597,14684,15666,8284,9268,7382,0,0,11696,"10,90",3406,0,0,0,"8,24","36,75",0,"37,73",100,"32,43","158.941,90","1,11",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304151,Quissamã,RJ,,14574,19939,12801,"87,80","87,84",6762,6762,75,23,5339,1872,1264,1264,909,0,0,0,0,"13,50",241,0,0,0,"11,76","26,51",0,"28,09",0,"78,85","95.723,75","6,57",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304201,Resende,RJ,,117438,119638,117438,100,"95,55",119375,117438,486,383,34557,32657,"11.634,10",11045,7088,5,0,0,"11.045,20","13,70",7088,4395,0,0,"11,29",100,62,"35,82","94,94","98,38","7.572.954,26","64,48",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304300,Rio Bonito,RJ,,42792,49866,37036,"86,60","86,55",,,41,,11725,,4636,4113,3591,523,0,0,0,3,,,,,,,,"22,54",0,"54,59","1.448.952,93","33,86",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304409,Rio Claro,RJ,,14086,12057,9527,"67,60","67,64",,,48,,3602,,956,956,758,0,0,0,0,"12,10",,,,,,,,"17,97",0,"95,89","1.098.541,28","77,99",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304508,Rio das Flores,RJ,,6189,6189,6189,100,"69,60",6189,6189,82,47,3090,3090,750,150,740,600,0,0,0,23,572,483,0,0,"13,16","77,30","84,44","1,33",0,0,"92.696,05","14,98",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304524,Rio das Ostras,RJ,,124769,125857,118984,"95,40","95,36",63124,62124,121,231,34305,15531,0,0,6498,0,7768,0,0,"3,20",1325,1325,0,0,"14,88","20,38",100,"16,35",0,"74,94","54.923.949,10","440,21",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304557,Rio de Janeiro,RJ,,6476631,6366564,6366564,"98,30","98,30",5381010,5381010,"10.352,52","6.254,23",1067360,796590,1087094,941345,760232,145749,0,0,1085333,"8,30",455815,338009,0,0,"6,93","59,96","74,15","26,39","99,46","70,01","453.660.325,60","70,05",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304607,Santa Maria Madalena,RJ,,5877,5301,3047,"51,90","51,84",5910,5000,16,6,1236,930,964,0,332,964,0,0,0,"12,50",105,104,0,0,6,"31,63","99,05","65,56",0,"58,45","179.706,39","30,58",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304706,Santo Antônio de Pádua,RJ,,31551,40582,30770,"97,50","98,55",31551,31551,192,400,12293,18068,"4.609,57",4514,2563,"96,01",0,0,"4.187,24","13,40",2952,30,0,0,"22,14",100,1,"44,40","6,77","98,11",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304755,São Francisco de Itabapoana,RJ,,21060,30279,15443,"73,30","73,33",494,494,67,1,9048,161,2819,0,1253,2819,0,0,0,"7,10",22,0,0,0,"5,42","1,76",0,"55,55",0,"73,16","11.762,66","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304805,São Fidélis,RJ,,29805,29235,23111,"77,50","77,54",32798,24778,86,105,9196,14520,4130,4130,2081,0,0,0,0,"10,20",1758,0,0,0,"7,07","84,49",0,"49,61",0,"83,03","97.751,80","3,28",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3304904,São Gonçalo,RJ,,1037324,876861,876222,"84,50","84,47",400976,400976,1583,711,178048,77736,187925,187925,135336,0,0,56446,187925,"8,10",44451,8264,0,0,"8,40","56,35","18,59","24,19",100,"48,23","20.364.752,61","19,63",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3305000,São João da Barra,RJ,,27134,34539,27099,"99,90","99,87",3546,3546,125,12,14395,1108,6137,2800,2896,3337,0,0,0,"8,40",263,0,0,0,"10,99","9,08",0,"49,96",0,"79,80","40.560,91","1,49",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3305109,São João de Meriti,RJ,,460625,430218,430218,"93,40","93,40",225040,225040,"542,02",417,75747,56965,64927,64927,32531,0,0,0,64927,"6,30",13622,0,0,0,"7,53","41,87",0,"47,26",100,"66,43","3.665.281,13","7,96",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3305133,São José de Ubá,RJ,,3188,3807,1684,"52,80","52,83",,,14,,1155,,380,380,270,0,0,0,0,"11,10",,,,,,,,"28,95",0,"99,78","20.280,46","6,36",,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3305158,São José do Vale do Rio Preto,RJ,,9303,18030,9300,100,"86,20",,,76,,4302,,"777,28",746,622,0,0,0,0,"17,20",,,,,,,,20,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,3305208,São Pedro da Aldeia,RJ,,90604,87995,87995,"97,10","90,79",69892,69892,449,54,35140,35140,7632,7632,4403,0,0,0,7632,12,3724,3724,0,0,"1,43","84,58",100,"31,55",100,"98,63","11.644.416,21","128,52",,,,,,,,,,,,,,,,,,,,,,,,,,
