ano,id_cid_principal,doenca,categoria,id_municipio_paciente,municipio_paciente,populacao_municipio_paciente,id_municipio_estabelecimento_aih,municipio_estabelecimento_aih,populacao_municipio_estabelecimento_aih,total_internacoes
2015,A91,Dengue Hemorrágica,Vetor,3305000,São João da Barra,34583,3301009,Campos dos Goytacazes,483970,61
2016,A90,Dengue,Vetor,3301850,Guapimirim,57105,3301850,Guapimirim,57105,60
2024,A91,Dengue Hemorrágica,Vetor,3301900,Itaboraí,240040,3303500,Nova Iguaçu,843046,59
2024,A90,Dengue,Vetor,3303500,Nova Iguaçu,843046,3300456,Belford Roxo,518263,59
2016,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,149876,3302700,Maricá,149876,59
2023,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,56276,3303302,Niterói,481749,59
2014,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,143111,3304557,Rio de Janeiro,6453682,59
2014,A90,Dengue,Vetor,3304300,Rio Bonito,57284,3304300,Rio Bonito,57284,59
2024,A90,Dengue,Vetor,3300100,Angra dos Reis,179120,3303500,Nova Iguaçu,843046,57
2020,A09,Diarreia e Gastroenterite,Hídrica,3300100,Angra dos Reis,207044,3300100,Angra dos Reis,207044,57
2022,A90,Dengue,Vetor,3304110,Porto Real,20373,3304110,Porto Real,20373,57
2016,A90,Dengue,Vetor,3304110,Porto Real,18552,3304110,Porto Real,18552,56
2016,A91,Dengue Hemorrágica,Vetor,3302700,Maricá,149876,3302700,Maricá,149876,56
2015,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,229007,3303302,Niterói,496696,56
2014,A90,Dengue,Vetor,3302700,Maricá,143111,3302700,Maricá,143111,56
2020,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,242543,3301900,Itaboraí,242543,55
2017,A09,Diarreia e Gastroenterite,Hídrica,3305000,São João da Barra,35174,3301009,Campos dos Goytacazes,490288,55
2024,A90,Dengue,Vetor,3302700,Maricá,211986,3301900,Itaboraí,240040,54
2019,A09,Diarreia e Gastroenterite,Hídrica,3305000,São João da Barra,36102,3301009,Campos dos Goytacazes,507548,54
2020,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,164504,3302700,Maricá,164504,54
2015,A90,Dengue,Vetor,3301900,Itaboraí,229007,3301900,Itaboraí,229007,53
2020,A09,Diarreia e Gastroenterite,Hídrica,3304300,Rio Bonito,60573,3304300,Rio Bonito,60573,53
2016,A09,Diarreia e Gastroenterite,Hídrica,3305000,São João da Barra,34884,3301009,Campos dos Goytacazes,487186,53
2019,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,821128,3304557,Rio de Janeiro,6718903,53
2024,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,211986,3303302,Niterói,516720,52
2019,A91,Dengue Hemorrágica,Vetor,3301900,Itaboraí,240592,3301900,Itaboraí,240592,52
2019,A90,Dengue,Vetor,3304110,Porto Real,19683,3304110,Porto Real,19683,52
2016,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,797435,3303500,Nova Iguaçu,797435,49
2023,A90,Dengue,Vetor,3301850,Guapimirim,51696,3301850,Guapimirim,51696,49
2023,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,197277,3303302,Niterói,481749,49
2017,A90,Dengue,Vetor,3301850,Guapimirim,57921,3302502,Magé,237420,48
2017,A90,Dengue,Vetor,3304300,Rio Bonito,58272,3304300,Rio Bonito,58272,48
2024,A90,Dengue,Vetor,3302270,Japeri,102149,3304557,Rio de Janeiro,6729894,48
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3302700,Maricá,211986,48
2022,A04,Infecções Intestinais Bacterianas,Hídrica,3303500,Nova Iguaçu,785867,3300456,Belford Roxo,483087,48
2016,A90,Dengue,Vetor,3302700,Maricá,149876,3303302,Niterói,497883,48
2019,A90,Dengue,Vetor,3304300,Rio Bonito,60201,3304300,Rio Bonito,60201,47
2021,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,167668,3302700,Maricá,167668,46
2021,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,244416,3301900,Itaboraí,244416,46
2021,A91,Dengue Hemorrágica,Vetor,3304110,Porto Real,20254,3304110,Porto Real,20254,46
2024,A91,Dengue Hemorrágica,Vetor,3303500,Nova Iguaçu,843046,3302601,Mangaratiba,43624,46
2014,A90,Dengue,Vetor,3303500,Nova Iguaçu,806177,3304144,Queimados,142709,46
2024,L08,Infecções Cutâneas,Outra,3301850,Guapimirim,54300,3301850,Guapimirim,54300,45
2022,A90,Dengue,Vetor,3303500,Nova Iguaçu,785867,3304557,Rio de Janeiro,6211223,45
2014,A09,Diarreia e Gastroenterite,Hídrica,3304110,Porto Real,17970,3304110,Porto Real,17970,45
2024,A90,Dengue,Vetor,3302270,Japeri,102149,3306305,Volta Redonda,279898,45
2021,A90,Dengue,Vetor,3303500,Nova Iguaçu,825388,3303500,Nova Iguaçu,825388,44
2024,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,102149,3303500,Nova Iguaçu,843046,44
2022,A90,Dengue,Vetor,3303500,Nova Iguaçu,785867,3303500,Nova Iguaçu,785867,44
2016,A90,Dengue,Vetor,3303500,Nova Iguaçu,797435,3300456,Belford Roxo,494141,43
2024,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,240040,3304300,Rio Bonito,59113,43
